,stateAbb,NAME,9SUM,10SUM,11SUM,12SUM,13SUM,14SUM,15SUM,16SUM,17SUM,18SUM,19SUM,20SUM,21SUM,22SUM,23SUM,9PERCENT,10PERCENT,11PERCENT,12PERCENT,13PERCENT,14PERCENT,15PERCENT,16PERCENT,17PERCENT,18PERCENT,19PERCENT,20PERCENT,21PERCENT,22PERCENT,23PERCENT,9SA,10SA,11SA,12SA,13SA,14SA,15SA,16SA,17SA,18SA,19SA,20SA,21SA,22SA,23SA
15,CA,California,0,10,22,37,41,30,35,39,41,35,44,29,33,30,32,0,0,1.2,0.6818181818,0.1081081081,-0.2682926829,0.1666666667,0.1142857143,0.05128205128,-0.1463414634,0.2571428571,-0.3409090909,0.1379310345,-0.09090909091,0.06666666667,0,4.513425926,7.449166667,11.05328373,15.66031746,10.22875782,11.9164923,9.077236652,11.7225,11.11319444,9.932916667,5.276111111,6.935267857,6.9375,8.25625
16,GA,Georgia,1,9,10,5,10,8,3,5,7,5,14,7,7,5,5,0,8,0.1111111111,-0.5,1,-0.2,-0.625,0.6666666667,0.4,-0.2857142857,1.8,-0.5,0,-0.2857142857,0,-0.1,1.672916667,1.041666667,0.7,3.36,2.211111111,1.55,1.9,2.021590909,2.083333333,2.739166667,1.6,0.975,1.375,-0.1
17,CT,Connecticut,1,4,5,1,6,1,2,4,4,2,3,0,1,1,3,0,3,0.25,-0.8,5,-0.8333333333,1,1,0,-0.5,0.5,-1,0,0,2,0.5,1.517272727,1.811111111,0.4333333333,2.645454545,0.85,0.9363636364,1.10625,1.7,0.8,0.8,0,0,-0.6,1.3
18,OK,Oklahoma,1,1,3,5,4,1,3,1,1,4,0,2,0,1,1,0,0,2,0.6666666667,-0.2,-0.75,2,-0.6666666667,0,3,-1,0,-1,0,0,-0.2,0,1.283333333,0.1208333333,0,0.8,0.6,0,-0.1875,0.55,0,0,0,0.1,0
19,OH,Ohio,2,9,11,9,14,7,5,2,16,4,5,5,2,4,4,0,3.5,0.2222222222,-0.1818181818,0.5555555556,-0.5,-0.2857142857,-0.6,7,-0.75,0.25,0,-0.6,1,0,1.033333333,1.9,-0.24375,0.9674603175,2.458333333,1.1,-0.04375,0,2.322222222,0.8,1.775,1.130555556,0.2666666667,0.55,0.5
20,KS,Kansas,0,1,3,3,1,4,1,2,0,3,3,2,0,0,2,0,0,2,0,-0.6666666667,3,-0.75,1,-1,0,0,-0.3333333333,-1,0,0,0,0,1.4,1.085714286,-0.025,0.9875,-0.25,-0.375,0,1.6,2.55,1.05,0,0,-0.05
21,SC,South Carolina,0,2,4,4,5,3,0,5,2,5,5,2,3,3,1,0,0,1,0,0.25,-0.4,-1,0,-0.6,1.5,0,-0.6,0.5,0,-0.6666666667,0,0.9363636364,1.933333333,2.25,1.091666667,0.6,0,0.2366666667,0.7,2.133333333,1.3,0,0.5363636364,0.4333333333,0.8
22,KY,Kentucky,2,1,2,1,4,0,2,3,1,3,1,1,4,1,0,0,-0.5,1,-0.5,3,-1,0,0.5,-0.6666666667,2,-0.6666666667,0,3,-0.75,-1,1.1,-0.1,0.3333333333,0,0.05,0,1.3,1.175,0.1428571429,0.8,0,0.8,0.375,0.5,0
23,OR,Oregon,0,0,0,10,2,1,5,3,5,2,3,3,2,2,1,0,0,0,0,-0.8,-0.5,4,-0.4,0.6666666667,-0.6,0.5,0,-0.3333333333,0,-0.5,0,0,0,2.225396825,0.025,0.8,1.057142857,0.8,0.7,0.5833333333,0.5,0.6,0,0,0.8
24,SD,South Dakota,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0.275,0,0,0,0,0,0
25,DE,Delaware,0,1,3,0,2,0,0,2,1,0,1,3,1,1,2,0,0,2,-1,0,-1,0,0,-0.5,-1,0,2,-0.6666666667,0,1,0,0.2454545455,0,0,1.416666667,0,0,0.2361111111,0.2148148148,0,1,1.35,1,0.8,0.75
26,DC,District of Columbia,1,1,1,0,3,1,2,2,3,2,4,2,3,1,1,0,0,0,-1,0,-0.6666666667,1,0,0.5,-0.3333333333,1,-0.5,0.5,-0.6666666667,0,0.5666666667,0,0.1666666667,0,0,0.4,0,1.6,0.8333333333,1,0,0.075,0.35,0,0.3
27,HI,Hawaii,0,0,0,0,2,2,0,0,3,0,3,0,0,2,1,0,0,0,0,0,0,-1,0,0,-1,0,-1,0,0,-0.5,0,0,0,0,1.6,1.45,0,0,0.7666666667,0,0.65,0,0,0.8,0
28,TX,Texas,5,8,18,15,25,18,26,16,28,21,24,24,12,14,11,0,0.6,1.25,-0.1666666667,0.6666666667,-0.28,0.4444444444,-0.3846153846,0.75,-0.25,0.1428571429,0,-0.5,0.1666666667,-0.2142857143,0.4777777778,3.0875,3.705555556,2.645887446,5.804444444,3.966666667,5.745238095,3.001190476,4.38,5.883333333,6.625,4.391666667,1.8375,1.827142857,2.241666667
29,LA,Louisiana,1,1,4,2,8,2,1,5,2,5,5,9,4,0,5,0,0,3,-0.5,3,-0.75,-0.5,4,-0.6,1.5,0,0.8,-0.5555555556,-1,0,0.3,0.825,0.2333333333,0.3666666667,3.268181818,0.3,0.4681818182,1.235714286,0.5357142857,-0.3458333333,0.4295454545,0.4272727273,0.9916666667,0,0.3
30,TN,Tennessee,1,8,5,6,4,4,7,4,3,6,6,7,3,4,5,0,7,-0.375,0.2,-0.3333333333,0,0.75,-0.4285714286,-0.25,1,0,0.1666666667,-0.5714285714,0.3333333333,0.25,0,2.366666667,3.1,2.023015873,1,0.8,1.10625,2.125,1.479166667,2.833333333,2,0.05833333333,1.325,2.127777778,1.386363636
